ID,rooms,metro,address,apartment_sqm,parking,window_view,ceiling_height,bathrooms,floor,total_floors,first_or_last,ac,balcony_counts,district,hood,expensive_design,bathroom/room,close_to_metro,target
271271157,4.0,208,9598,200.0,5,3,3.0,1.0,5.0,16.0,0,1.0,0.0,0,4,1.0,0.25,1.0,500000.0
271634126,4.0,208,9598,198.0,5,2,3.5,3.0,5.0,16.0,0,1.0,0.0,0,4,1.0,0.75,1.0,500000.0
271173086,4.0,208,9598,200.0,5,2,3.2,3.0,5.0,16.0,0,1.0,0.0,0,4,1.0,0.75,1.0,500000.0
272197456,4.0,208,7234,170.0,5,2,3.2,3.0,5.0,6.0,0,1.0,0.0,0,4,1.0,0.75,1.0,400000.0
273614615,2.0,10,9595,58.0,3,2,3.9,2.0,12.0,26.0,0,0.0,0.0,0,4,1.0,1.0,1.0,225000.0
274837728,3.0,208,59,92.0,3,3,2.5,1.0,3.0,7.0,0,1.0,0.0,0,4,1.0,0.33,1.0,470000.0
273643908,5.0,10,7237,213.0,2,2,3.2,2.0,4.0,5.0,0,0.0,0.0,0,4,1.0,0.4,1.0,350000.0
274475342,3.0,208,7945,98.0,5,0,3.2,2.0,2.0,4.0,0,1.0,0.0,0,4,1.0,0.67,1.0,250000.0
273973191,3.0,208,4287,120.0,4,1,3.0,1.0,5.0,10.0,0,1.0,0.0,0,4,1.0,0.33,1.0,130000.0
272900409,4.0,10,7942,90.0,4,2,310.0,2.0,2.0,7.0,0,1.0,1.0,0,4,1.0,0.5,1.0,210000.0
271036964,4.0,208,3776,170.0,5,2,3.2,3.0,6.0,7.0,0,1.0,0.0,0,4,1.0,0.75,1.0,290000.0
273999490,3.0,208,4289,80.0,3,2,2.5,1.0,4.0,8.0,0,1.0,3.0,0,4,1.0,0.33,1.0,100000.0
274017037,3.0,208,1305,100.0,3,0,2.5,2.0,2.0,4.0,0,1.0,0.0,0,4,1.0,0.67,1.0,200000.0
273231024,5.0,208,6256,180.0,3,1,2.5,3.0,6.0,8.0,0,1.0,1.0,0,4,1.0,0.6,1.0,500000.0
274839211,5.0,95,6419,222.0,5,3,2.5,2.0,5.0,9.0,0,0.0,1.0,10,43,1.0,0.4,1.0,450000.0
274767901,5.0,95,6419,225.0,3,3,2.5,1.0,5.0,9.0,0,0.0,0.0,10,43,1.0,0.2,1.0,450000.0
274995950,2.0,10,9595,30.0,3,1,2.5,1.0,19.0,26.0,0,1.0,0.0,0,4,1.0,0.5,1.0,120000.0
274945807,5.0,10,6419,222.0,3,3,2.5,1.0,5.0,9.0,0,1.0,1.0,0,4,1.0,0.2,1.0,450000.0
272911145,5.0,3,4958,150.0,2,3,2.5,2.0,4.0,7.0,0,0.0,1.0,0,4,1.0,0.4,0.0,180000.0
274748017,5.0,95,6420,201.0,3,2,3.2,3.0,3.0,3.0,2,1.0,0.0,10,43,1.0,0.6,1.0,190000.0
273941734,2.0,10,9595,64.0,3,1,2.5,2.0,12.0,26.0,0,1.0,0.0,0,4,1.0,1.0,1.0,205000.0
274493570,3.0,95,7241,112.0,5,2,3.2,2.0,2.0,7.0,0,1.0,1.0,10,43,1.0,0.67,1.0,230000.0
274849101,4.0,208,3765,190.0,3,3,2.5,1.0,4.0,5.0,0,0.0,0.0,0,4,1.0,0.25,1.0,590000.0
223918678,5.0,10,6419,256.0,3,0,2.5,3.0,8.0,9.0,0,1.0,0.0,0,4,1.0,0.6,1.0,850000.0
274391259,5.0,10,6420,186.0,4,2,3.3,2.0,3.0,3.0,2,1.0,0.0,0,4,1.0,0.4,1.0,190000.0
272945376,3.0,10,1876,100.0,2,2,3.2,2.0,3.0,8.0,0,1.0,0.0,0,4,1.0,0.67,1.0,200000.0
272612966,5.0,10,4958,150.0,3,0,2.5,2.0,4.0,7.0,0,1.0,1.0,0,4,1.0,0.4,0.0,200000.0
271568490,5.0,208,7233,140.0,3,1,2.5,1.0,2.0,7.0,0,0.0,0.0,0,4,1.0,0.2,1.0,300000.0
264664760,3.0,10,9601,133.0,3,3,2.5,2.0,5.0,13.0,0,1.0,0.0,0,4,1.0,0.67,0.0,400000.0
228923308,5.0,10,6419,256.0,5,2,3.0,4.0,8.0,10.0,0,1.0,0.0,0,4,1.0,0.8,1.0,750000.0
267489303,6.0,10,7239,380.0,4,2,4.0,3.0,3.0,6.0,0,1.0,0.0,0,4,0.0,0.5,1.0,870000.0
273353104,3.0,208,9601,112.0,5,3,3.15,2.0,3.0,13.0,0,0.0,0.0,0,4,0.0,0.67,1.0,350000.0
273353103,2.0,208,9601,91.0,5,3,3.15,2.0,10.0,13.0,0,0.0,0.0,0,4,0.0,1.0,1.0,400000.0
268321690,3.0,10,9601,135.0,5,2,2.5,2.0,5.0,13.0,0,0.0,0.0,0,4,1.0,0.67,0.0,400000.0
269496185,4.0,208,3765,190.0,5,2,3.2,2.0,4.0,5.0,0,1.0,0.0,0,4,1.0,0.5,1.0,590000.0
272188531,2.0,10,9595,44.0,3,3,4.15,1.0,21.0,26.0,0,0.0,0.0,0,4,0.0,0.5,0.0,135000.0
272727784,3.0,208,7940,85.0,3,3,2.5,1.0,7.0,7.0,2,1.0,1.0,0,4,1.0,0.33,0.0,150000.0
267110043,2.0,208,59,100.0,3,1,3.0,2.0,5.0,7.0,0,0.0,1.0,0,4,0.0,1.0,1.0,320000.0
265323319,3.0,208,9601,133.0,5,3,3.15,2.0,5.0,13.0,0,0.0,0.0,0,4,0.0,0.67,1.0,400000.0
265804792,4.0,208,7234,210.0,3,2,3.8,3.0,3.0,5.0,0,0.0,1.0,0,4,0.0,0.75,1.0,400000.0
239000408,4.0,10,1346,180.0,3,3,2.5,2.0,4.0,4.0,2,0.0,0.0,0,4,0.0,0.5,1.0,450000.0
271209314,4.0,208,9598,165.0,3,3,3.35,2.0,9.0,16.0,0,0.0,0.0,0,4,0.0,0.5,1.0,470000.0
